address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
712 FRANKLIN BLVD,,,,,,,,,,,,,,,,,
Austin TX 78751,,,,,,,,,,,,,,,,,
(30.321744 -97.728274),3.05,2014-03-18 00:00:00,Not cleared,9.0,BURGLARY OF VEHICLE,I,30.321744,(30.321744-97.728274),712 FRANKLIN BLVD,-97.728274,Theft: BOV,2014-03-15 00:00:00,20145011673.0,3118479.0,10090444.0,2014.0,78751.0
7115 BURNET RD Austin TX 78757,15.04,2015-04-29 00:00:00,Not cleared,7.0,AUTO THEFT,I,,,7115 BURNET RD,,Auto Theft,2015-04-26 00:00:00,20151160943.0,3115937.0,10099775.0,2015.0,78757.0
100 N IH 35 SVRD SB,,,,,,,,,,,,,,,,,
Austin TX 78701,11,2014-02-11 00:00:00,Not cleared,9.0,THEFT,G,,,100 N IH 35 SVRD SB,,Theft: All Other Larceny,2014-02-07 00:00:00,20145005903.0,3116259.0,10068343.0,2014.0,78701.0
10509 MACMORA RD,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.383045 -97.706294),18.21,2014-08-14 00:00:00,Cleared by Arrest,4.0,AGG ASLT STRANGLE/SUFFOCATE,E,30.383045,(30.383045-97.706294),10509 MACMORA RD,-97.706294,Aggravated Assault,2014-08-07 00:00:00,20142190052.0,3124894.0,10112716.0,2014.0,78758.0
1320 E OLTORF ST,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.234032 -97.742436),23.08,2014-04-22 00:00:00,Not cleared,9.0,THEFT BY SHOPLIFTING,H,30.234032,(30.234032-97.742436),1320 E OLTORF ST,-97.742436,Theft: Shoplifting,2014-03-20 00:00:00,2014792050.0,3114800.0,10058474.0,2014.0,78704.0
10800 RESEARCH BLVD SVRD SB,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.399939 -97.746331),17.22,2014-10-11 00:00:00,Cleared by Arrest,10.0,THEFT BY SHOPLIFTING,A,30.399939,(30.399939-97.746331),10800 RESEARCH BLVD SVRD SB,-97.746331,Theft: Shoplifting,2014-10-10 00:00:00,20142830100.0,3112050.0,10118581.0,2014.0,78759.0
E 9TH ST / SAN MARCOS ST Austin TX 78702,9.01,2015-11-02 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,G,,,E 9TH ST / SAN MARCOS ST,,Theft,2015-11-01 00:00:00,20155048160.0,3117953.0,10070762.0,2015.0,78702.0
2701 E 7TH ST Austin TX 78702,9.02,2015-05-12 00:00:00,Cleared by Arrest,3.0,THEFT,C,,,2701 E 7TH ST,,Theft,2015-05-08 00:00:00,20151281668.0,3124306.0,10067892.0,2015.0,78702.0
1030 NORWOOD PARK BLVD,,,,,,,,,,,,,,,,,
Austin TX 78753,,,,,,,,,,,,,,,,,
(30.338618 -97.692566),18.13,2014-04-30 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-04-26 00:00:00,20141162082.0,3129997.0,10096983.0,2014.0,78753.0
1900 S 1ST ST Austin TX 78704,13.05,2015-12-23 00:00:00,Not cleared,9.0,THEFT,D,,,1900 S 1ST ST,,Theft,2015-12-22 00:00:00,20155055857.0,3110087.0,10062796.0,2015.0,78704.0
8548 N LAMAR BLVD,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.353901 -97.704855),18.05,2014-06-30 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,E,30.353901,(30.353901-97.704855),8548 N LAMAR BLVD,-97.704855,Theft: BOV,2014-06-28 00:00:00,20141790788.0,3124981.0,10102414.0,2014.0,78758.0
4600 NUCKOLS CROSSING RD Austin TX 78744,24.13,2015-03-31 00:00:00,Not cleared,2.0,THEFT,F,,,4600 NUCKOLS CROSSING RD,,Theft,2015-03-30 00:00:00,20155013146.0,3117292.0,10045926.0,2015.0,78744.0
2501 MANOR RD Austin TX 78722,4.02,2015-04-29 00:00:00,Not cleared,1.0,THEFT OF BICYCLE,C,,,2501 MANOR RD,,Theft,2015-04-10 00:00:00,20155015007.0,3122608.0,10076977.0,2015.0,78722.0
201 COLORADO ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.264929 -97.745437),11,2014-07-22 00:00:00,Not cleared,9.0,THEFT OF BICYCLE,G,30.264929,(30.264929-97.745437),201 COLORADO ST,-97.745437,Theft: All Other Larceny,2014-07-15 00:00:00,20145031219.0,3113625.0,10069568.0,2014.0,78701.0
8000 SHOAL CREEK BLVD,,,,,,,,,,,,,,,,,
Austin TX 78757,,,,,,,,,,,,,,,,,
(30.363856 -97.739657),18.170000000000002,2014-12-12 00:00:00,Not cleared,7.0,THEFT BY SHOPLIFTING,B,30.363856,(30.363856-97.739657),8000 SHOAL CREEK BLVD,-97.739657,Theft: Shoplifting,2014-12-10 00:00:00,20145054307.0,3114069.0,10105913.0,2014.0,78757.0
10200 BLOCK MANCHACA RD,,,,,,,,,,,,,,,,,
Austin TX 78748,17.48,2014-10-07 00:00:00,Cleared by Arrest,5.0,MANSLAUGHTER,F,,,10200 BLOCK MANCHACA RD,,Homicide: Murder & Nonnegligent Manslaughter,2014-10-07 00:00:00,20142791834.0,3089110.0,10034549.0,2014.0,78748.0
11709 CHERISSE DR Austin TX 78739,17.75,2016-01-20 00:00:00,Not cleared,8.0,BURGLARY OF RESIDENCE,D,,,11709 CHERISSE DR,,Burglary,2015-12-21 00:00:00,20153551519.0,3058683.0,10041083.0,2015.0,78739.0
3403 CLAWSON RD,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.236124 -97.778815),20.05,2014-02-19 00:00:00,Not cleared,5.0,BURGLARY OF RESIDENCE,D,30.236124,(30.236124-97.778815),3403 CLAWSON RD,-97.778815,Burglary / ,,,,,,
Breaking & Entering,2014-01-15 00:00:00,2014150947,3103281,10058838.0,2014,78704,,,,,,,,,,,
9009 GEORGIAN DR,,,,,,,,,,,,,,,,,
Austin TX 78753,,,,,,,,,,,,,,,,,
(30.357531 -97.695269),18.059999999999999,2014-12-22 00:00:00,Not cleared,4.0,THEFT,E,30.357531,(30.357531-97.695269),9009 GEORGIAN DR,-97.695269,Theft: All Other Larceny,2014-12-19 00:00:00,20145055715.0,3128628.0,10103621.0,2014.0,78753.0
 Austin TX 78759,25,2015-08-31 00:00:00,Cleared by Exception,10.0,RAPE,A,,,,,Rape,2015-05-17 00:00:00,20151370489.0,,,2015.0,78759.0
2201 MONTOPOLIS DR,,,,,,,,,,,,,,,,,
Austin TX 78741,,,,,,,,,,,,,,,,,
(30.222593 -97.704957),23.12,2014-03-21 00:00:00,Not cleared,3.0,THEFT OF LICENSE PLATE,H,30.222593,(30.222593-97.704957),2201 MONTOPOLIS DR,-97.704957,Theft: All Other Larceny,2014-03-17 00:00:00,20145011899.0,3126802.0,10054470.0,2014.0,78741.0
9222 JOLLYVILLE RD,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.384067 -97.745056),17.059999999999999,,,10.0,BURGLARY OF VEHICLE,B,30.384067,(30.384067-97.745056),9222 JOLLYVILLE RD,-97.745056,Theft: BOV,2014-02-19 00:00:00,20145007690.0,3112577.0,10113078.0,2014.0,78759.0
815 BRAZOS ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.270313 -97.740497),11,2014-02-11 00:00:00,Not cleared,9.0,THEFT,G,30.270313,(30.270313-97.740497),815 BRAZOS ST,-97.740497,Theft: All Other Larceny,2014-02-07 00:00:00,20145005952.0,3115078.0,10071576.0,2014.0,78701.0
9700 STONELAKE BLVD Austin TX 78759,17.53,2015-01-08 00:00:00,Not cleared,7.0,BURGLARY OF VEHICLE,A,,,9700 STONELAKE BLVD,,Theft,2015-01-06 00:00:00,20155000599.0,3114413.0,10114274.0,2015.0,78759.0
2400 WICKERSHAM LN Austin TX 78741,23.14,2015-12-24 00:00:00,Not cleared,3.0,BURGLARY OF RESIDENCE,H,,,2400 WICKERSHAM LN,,Burglary,2015-12-22 00:00:00,20153561769.0,3120814.0,10056202.0,2015.0,78741.0
2222 GUADALUPE ST,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.285572 -97.741801),6.04,,,9.0,THEFT BY SHOPLIFTING,B,30.285572,(30.285572-97.741801),2222 GUADALUPE ST,-97.741801,Theft: Shoplifting,2014-07-19 00:00:00,20142001606.0,3114387.0,10077129.0,2014.0,78705.0
10931 RESEARCH BLVD NB Austin TX 78759,17.54,2015-12-16 00:00:00,Not cleared,7.0,BURGLARY NON RESIDENCE,A,,,10931 RESEARCH BLVD NB,,Burglary,2015-11-14 00:00:00,20153180843.0,3112453.0,10119462.0,2015.0,78759.0
301 E 5TH ST Austin TX 78701,11,2015-04-09 00:00:00,Not cleared,9.0,THEFT,G,,,301 E 5TH ST,,Theft,2015-03-25 00:00:00,20158001041.0,3115029.0,10070068.0,2015.0,78701.0
2701 E 7TH ST Austin TX 78702,9.02,2015-11-03 00:00:00,Cleared by Arrest,3.0,THEFT,C,,,2701 E 7TH ST,,Theft,2015-10-08 00:00:00,20152811520.0,3124306.0,10067892.0,2015.0,78702.0
2810 HEMPHILL PARK,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.294033 -97.740961),6.01,2014-06-26 00:00:00,Not cleared,9.0,THEFT OF BICYCLE,B,30.294033,(30.294033-97.740961),2810 HEMPHILL PARK,-97.740961,Theft: All Other Larceny,2014-06-25 00:00:00,20145028081.0,3114585.0,10080210.0,2014.0,78705.0
709 W 22ND ST,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.285284 -97.745936),6.04,2014-12-19 00:00:00,Not cleared,9.0,BURGLARY OF VEHICLE,B,30.285284,(30.285284-97.745936),709 W 22ND ST,-97.745936,Theft: BOV,2014-12-11 00:00:00,20145054524.0,3113172.0,10076882.0,2014.0,78705.0
10616 RESEARCH BLVD SB,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.397406 -97.746596),17.22,2014-12-02 00:00:00,Not cleared,10.0,THEFT,A,30.397406,(30.397406-97.746596),10616 RESEARCH BLVD SB,-97.746596,Theft: All Other Larceny,2014-12-01 00:00:00,20145052925.0,3111615.0,10117716.0,2014.0,78759.0
3600 PRESIDENTIAL BLVD Austin TX 78719,9800,2015-09-29 00:00:00,Not cleared,2.0,THEFT,AP,,,3600 PRESIDENTIAL BLVD,,Theft,2015-08-24 00:00:00,20155037263.0,3138768.0,10047351.0,2015.0,78719.0
9420 N IH 35 SVRD SB Austin TX 78753,18.23,2015-10-22 00:00:00,Not cleared,4.0,THEFT FROM PERSON,E,,,9420 N IH 35 SVRD SB,,Theft,2015-08-28 00:00:00,20152400146.0,3130705.0,10104509.0,2015.0,78753.0
10710 RESEARCH BLVD SVRD SB,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.39855 -97.74648),17.22,2014-05-08 00:00:00,Cleared by Arrest,10.0,THEFT BY SHOPLIFTING,A,30.39855,(30.39855-97.74648),10710 RESEARCH BLVD SVRD SB,-97.74648,Theft: Shoplifting,2014-05-07 00:00:00,20141271280.0,3112026.0,10118168.0,2014.0,78759.0
1030 NORWOOD PARK BLVD Austin TX 78753,18.13,2015-05-13 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,,,1030 NORWOOD PARK BLVD,,Theft,2015-04-12 00:00:00,20155015335.0,3129997.0,10096983.0,2015.0,78753.0
1030 NORWOOD PARK BLVD,,,,,,,,,,,,,,,,,
Austin TX 78753,,,,,,,,,,,,,,,,,
(30.338618 -97.692566),18.13,2014-11-24 00:00:00,Not cleared,4.0,THEFT,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: All Other Larceny,2014-11-22 00:00:00,20143260827.0,3129997.0,10096983.0,2014.0,78753.0
12116 ROXIE DR,,,,,,,,,,,,,,,,,
Austin TX 78729,,,,,,,,,,,,,,,,,
(30.443015 -97.781849),204.06,2014-12-12 00:00:00,Not cleared,6.0,BURGLARY NON RESIDENCE,A,30.443015,(30.443015-97.781849),12116 ROXIE DR,-97.781849,Burglary / ,,,,,,
Breaking & Entering,2014-11-28 00:00:00,20143320829,3100421,10134180.0,2014,78729,,,,,,,,,,,
10404 BIG THICKET DR Austin TX 78747,24.25,2015-03-03 00:00:00,Not cleared,5.0,BURGLARY OF RESIDENCE,F,,,10404 BIG THICKET DR,,Burglary,2015-01-27 00:00:00,2015270669.0,3101115.0,10027707.0,2015.0,78747.0
3828 S 1ST ST,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.227086 -97.769189),13.07,,,3.0,THEFT,D,30.227086,(30.227086-97.769189),3828 S 1ST ST,-97.769189,Theft: All Other Larceny,2014-05-27 00:00:00,20145023615.0,3106178.0,10055744.0,2014.0,78704.0
801 E WILLIAM CANNON DR Austin TX 78745,24.22,2015-11-17 00:00:00,Not cleared,2.0,THEFT,F,,,801 E WILLIAM CANNON DR,,Theft,2015-11-16 00:00:00,20155050565.0,3105655.0,10042376.0,2015.0,78745.0
6508 MC NEIL DR,,,,,,,,,,,,,,,,,
Austin TX 78729,,,,,,,,,,,,,,,,,
(30.439481 -97.753812),17.850000000000001,2014-04-01 00:00:00,Not cleared,6.0,BURGLARY OF COIN-OP MACHINE,A,30.439481,(30.439481-97.753812),6508 MC NEIL DR,-97.753812,Theft: Coin Op Machine,2014-03-30 00:00:00,2014890794.0,3109277.0,10133119.0,2014.0,78729.0
1000 E 41ST ST Austin TX 78751,3.02,2015-06-04 00:00:00,Cleared by Arrest,9.0,THEFT BY SHOPLIFTING,B,,,1000 E 41ST ST,,Theft,2015-06-03 00:00:00,20151541130.0,3121345.0,10082705.0,2015.0,78751.0
2347 DOUGLAS ST,,,,,,,,,,,,,,,,,
Austin TX 78741,,,,,,,,,,,,,,,,,
(30.228719 -97.732436),23.13,2014-10-07 00:00:00,Not cleared,3.0,THEFT,H,30.228719,(30.228719-97.732436),2347 DOUGLAS ST,-97.732436,Theft: All Other Larceny,2014-09-27 00:00:00,20142701440.0,3118326.0,10056320.0,2014.0,78741.0
1804 LAVACA ST Austin TX 78701,7,2015-11-09 00:00:00,Not cleared,9.0,AUTO THEFT,B,,,1804 LAVACA ST,,Auto Theft,2015-11-08 00:00:00,20153120575.0,3114758.0,10075458.0,2015.0,78701.0
4509 E ST ELMO RD Austin TX 78744,24.13,2015-06-16 00:00:00,Not cleared,2.0,BURGLARY OF VEHICLE,F,,,4509 E ST ELMO RD,,Theft,2015-06-11 00:00:00,20155025145.0,3116165.0,10048034.0,2015.0,78744.0
4701 SAGEBRUSH TRL Austin TX 78745,17.12,2015-01-20 00:00:00,Not cleared,5.0,THEFT,D,,,4701 SAGEBRUSH TRL,,Theft,2015-01-14 00:00:00,20155001870.0,3096728.0,10055829.0,2015.0,78745.0
10000 N LAMAR BLVD Austin TX 78758,18.22,2015-11-20 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,E,,,10000 N LAMAR BLVD,,Theft,2015-11-20 00:00:00,20155051118.0,3128495.0,10107901.0,2015.0,78758.0
2523 DURWOOD ST,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.238894 -97.75936),13.08,2014-09-23 00:00:00,Not cleared,3.0,THEFT,D,30.238894,(30.238894-97.75936),2523 DURWOOD ST,-97.75936,Theft: All Other Larceny,2014-09-19 00:00:00,20145041689.0,3109429.0,10059973.0,2014.0,78704.0
11521 N FM 620 RD,,,,,,,,,,,,,,,,,
Austin TX 78726,,,,,,,,,,,,,,,,,
(30.454948 -97.826276),17.14,2014-10-06 00:00:00,Cleared by Arrest,6.0,THEFT,A,30.454948,(30.454948-97.826276),11521 N FM 620 RD,-97.826276,Theft: All Other Larceny,2014-09-26 00:00:00,20142691443.0,3086561.0,10137995.0,2014.0,78726.0
539 W OLTORF ST Austin TX 78704,13.08,2015-11-17 00:00:00,Not cleared,3.0,THEFT,D,,,539 W OLTORF ST,,Theft,2015-11-13 00:00:00,20155050232.0,3109376.0,10061066.0,2015.0,78704.0
12900 N IH 35 SVRD SB Austin TX 78753,18.48,2015-05-06 00:00:00,Not cleared,7.0,THEFT,E,,,12900 N IH 35 SVRD SB,,Theft,2015-05-04 00:00:00,20155018862.0,3134231.0,10124161.0,2015.0,78753.0
3405 TOM GREEN ST,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.297515 -97.732081),5,2014-05-26 00:00:00,Not cleared,9.0,AUTO THEFT,B,30.297515,(30.297515-97.732081),3405 TOM GREEN ST,-97.732081,Auto Theft,2014-05-22 00:00:00,20141420785.0,3117508.0,10081525.0,2014.0,78705.0
750 AIRPORT BLVD Austin TX 78702,21.11,2015-09-29 00:00:00,Not cleared,3.0,BURGLARY NON RESIDENCE,C,,,750 AIRPORT BLVD,,Burglary,2015-09-28 00:00:00,20152710304.0,3130156.0,10065982.0,2015.0,78702.0
1631 E 2ND ST,,,,,,,,,,,,,,,,,
Austin TX 78702,,,,,,,,,,,,,,,,,
(30.259166 -97.727532),9.02,2014-08-15 00:00:00,Not cleared,3.0,THEFT,G,30.259166,(30.259166-97.727532),1631 E 2ND ST,-97.727532,Theft: All Other Larceny,2014-08-13 00:00:00,20145035889.0,3119231.0,10067538.0,2014.0,78702.0
3508 ALPINE CIR Austin TX 78704,13.08,2015-01-27 00:00:00,Not cleared,3.0,THEFT OF LICENSE PLATE,D,,,3508 ALPINE CIR,,Theft,2015-01-25 00:00:00,20155003323.0,3108265.0,10056522.0,2015.0,78704.0
3401 S IH 35 SVRD NB,,,,,,,,,,,,,,,,,
Austin TX 78741,23.07,2014-08-11 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,H,,,3401 S IH 35 SVRD NB,,Theft: BOV,2014-08-10 00:00:00,20145035398.0,3113742.0,10054371.0,2014.0,78741.0
11616 FENCE POST TRL Austin TX 78750,204.04,2015-02-25 00:00:00,Not cleared,6.0,AUTO THEFT,A,,,11616 FENCE POST TRL,,Auto Theft,2015-02-23 00:00:00,2015540836.0,3088081.0,10138041.0,2015.0,78750.0
401 E 7TH ST Austin TX 78701,11,2015-01-25 00:00:00,Not cleared,9.0,BURGLARY NON RESIDENCE,G,,,401 E 7TH ST,,Burglary,2015-01-21 00:00:00,2015210687.0,3115555.0,10070726.0,2015.0,78701.0
2300 W BEN WHITE BLVD SVRD WB,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.232311 -97.792157),20.04,2014-12-29 00:00:00,Not cleared,5.0,ROBBERY BY ASSAULT,D,30.232311,(30.232311-97.792157),2300 W BEN WHITE BLVD SVRD WB,-97.792157,Robbery,2014-08-25 00:00:00,20142371115.0,3098607.0,10057647.0,2014.0,78704.0
9200 NORTH PLZ Austin TX 78753,18.13,2015-01-27 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,E,,,9200 NORTH PLZ,,Theft,2015-01-27 00:00:00,20155003556.0,3131541.0,10102640.0,2015.0,78753.0
1601 MONTOPOLIS DR Austin TX 78741,23.12,2015-05-06 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,H,,,1601 MONTOPOLIS DR,,Theft,2015-04-28 00:00:00,20155017894.0,3127800.0,10056392.0,2015.0,78741.0
4600 NUCKOLS CROSSING RD Austin TX 78744,24.13,,,2.0,BURGLARY OF VEHICLE,F,,,4600 NUCKOLS CROSSING RD,,Theft,2015-06-14 00:00:00,20155025655.0,3117292.0,10045926.0,2015.0,78744.0
S 1ST ST / W WILLIAM CANNON DR,,,,,,,,,,,,,,,,,
Austin TX 78745,24.22,2014-06-11 00:00:00,Not cleared,2.0,THEFT OF BICYCLE,F,,,S 1ST ST / W WILLIAM CANNON DR,,Theft: All Other Larceny,2014-06-10 00:00:00,20145025790.0,3100695.0,10044621.0,2014.0,78745.0
2508 E RIVERSIDE DR,,,,,,,,,,,,,,,,,
Austin TX 78741,,,,,,,,,,,,,,,,,
(30.234657 -97.723454),23.04,2014-03-13 00:00:00,Cleared by Arrest,3.0,THEFT,H,30.234657,(30.234657-97.723454),2508 E RIVERSIDE DR,-97.723454,Theft: All Other Larceny,2014-03-10 00:00:00,2014691171.0,3120959.0,10059177.0,2014.0,78741.0
5701 JOHNNY MORRIS RD Austin TX 78724,22.08,2015-01-13 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,C,,,5701 JOHNNY MORRIS RD,,Theft,2015-01-12 00:00:00,20155001462.0,3142785.0,10080216.0,2015.0,78724.0
2000 BURTON DR Austin TX 78741,23.15,2015-03-05 00:00:00,Not cleared,3.0,THEFT,H,,,2000 BURTON DR,,Theft,2015-01-02 00:00:00,20155000102.0,3117932.0,10058208.0,2015.0,78741.0
5526 S CONGRESS AVE Austin TX 78745,24.02,2015-12-23 00:00:00,Not cleared,3.0,THEFT,D,,,5526 S CONGRESS AVE,,Theft,2015-10-05 00:00:00,20155043964.0,3104627.0,10047797.0,2015.0,78745.0
7337 MANCHACA RD Austin TX 78745,17.28,2015-04-01 00:00:00,Not cleared,5.0,THEFT,F,,,7337 MANCHACA RD,,Theft,2015-03-20 00:00:00,20155011691.0,3094145.0,10044537.0,2015.0,78745.0
710 E BEN WHITE BLVD SVRD WB Austin TX 78704,23.08,,,3.0,THEFT BY SHOPLIFTING,D,,,710 E BEN WHITE BLVD SVRD WB,,Theft,2015-08-19 00:00:00,20152311402.0,3110719.0,10052849.0,2015.0,78704.0
4030 W BRAKER LN,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.398082 -97.737296),17.54,2015-01-29 00:00:00,Not cleared,7.0,BURGLARY OF VEHICLE,A,30.398082,(30.398082-97.737296),4030 W BRAKER LN,-97.737296,Theft: BOV,2014-12-19 00:00:00,20143530834.0,3115031.0,10118221.0,2014.0,78759.0
N IH 35 SVRD SB / DRISKILL ST,,,,,,,,,,,,,,,,,
Austin TX 78701,11,2014-08-07 00:00:00,Not cleared,9.0,BURGLARY OF VEHICLE,G,,,N IH 35 SVRD SB / DRISKILL ST,,Theft: BOV,2014-08-06 00:00:00,20145034638.0,3116212.0,10068090.0,2014.0,78701.0
9411 PARKFIELD DR Austin TX 78758,18.190000000000001,2015-10-12 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,E,,,9411 PARKFIELD DR,,Theft,2015-10-08 00:00:00,20155044558.0,3125176.0,10107316.0,2015.0,78758.0
5300 MIDDALE LN Austin TX 78723,21.06,2015-12-04 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,I,,,5300 MIDDALE LN,,Burglary,2015-11-28 00:00:00,20153320729.0,3131311.0,10084260.0,2015.0,78723.0
520 W 6TH ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.269554 -97.748158),11,2014-10-03 00:00:00,Cleared by Arrest,9.0,THEFT,G,30.269554,(30.269554-97.748158),520 W 6TH ST,-97.748158,Theft: All Other Larceny,2014-09-27 00:00:00,20142702105.0,3112624.0,10071339.0,2014.0,78701.0
710 E BEN WHITE BLVD SVRD WB Austin TX 78704,23.08,2015-07-14 00:00:00,Cleared by Arrest,3.0,THEFT BY SHOPLIFTING,D,,,710 E BEN WHITE BLVD SVRD WB,,Theft,2015-07-02 00:00:00,20151831376.0,3110719.0,10052849.0,2015.0,78704.0
8516 ANDERSON MILL RD Austin TX 78729,204.09,2015-12-31 00:00:00,Not cleared,6.0,THEFT,A,,,8516 ANDERSON MILL RD,,Theft,2015-12-21 00:00:00,20155055716.0,3104917.0,10139082.0,2015.0,78729.0
613 CONGRESS AVE,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.268602 -97.742613),11,2014-06-25 00:00:00,Not cleared,9.0,THEFT,G,30.268602,(30.268602-97.742613),613 CONGRESS AVE,-97.742613,Theft: All Other Larceny,2014-06-23 00:00:00,20141740117.0,3114501.0,10070899.0,2014.0,78701.0
206 E ST JOHNS AVE Austin TX 78752,18.04,2015-12-02 00:00:00,Not cleared,4.0,AGG ROBBERY/DEADLY WEAPON,I,,,206 E ST JOHNS AVE,,Robbery,2015-11-11 00:00:00,20153151417.0,3124476.0,10095422.0,2015.0,78752.0
5505 BALCONES DR Austin TX 78731,1.01,2015-12-08 00:00:00,Not cleared,10.0,THEFT,B,,,5505 BALCONES DR,,Theft,2015-12-05 00:00:00,20155053160.0,3109140.0,10095423.0,2015.0,78731.0
111 E CESAR CHAVEZ ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.263215 -97.743895),11,,,9.0,THEFT,G,30.263215,(30.263215-97.743895),111 E CESAR CHAVEZ ST,-97.743895,Theft: All Other Larceny,2014-03-31 00:00:00,20145014181.0,3113960.0,10068938.0,2014.0,78701.0
1710 MONTOPOLIS DR Austin TX 78741,23.18,2015-08-05 00:00:00,Cleared by Arrest,3.0,THEFT,H,,,1710 MONTOPOLIS DR,,Theft,2015-06-13 00:00:00,20151641855.0,3127380.0,10056049.0,2015.0,78741.0
300 S LAMAR BLVD SB,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.262693 -97.757945),13.03,2014-10-08 00:00:00,Not cleared,5.0,THEFT OF BICYCLE,D,30.262693,(30.262693-97.757945),300 S LAMAR BLVD SB,-97.757945,Theft: All Other Larceny,2014-10-06 00:00:00,20148002883.0,3109370.0,10068748.0,2014.0,78704.0
863 AIRPORT BLVD Austin TX 78721,21.11,2016-01-13 00:00:00,Not cleared,3.0,THEFT,C,,,863 AIRPORT BLVD,,Theft,2015-11-17 00:00:00,20155050588.0,3130031.0,10067920.0,2015.0,78721.0
2302 E WILLIAM CANNON DR Austin TX 78744,24.19,2015-10-06 00:00:00,Not cleared,2.0,BURGLARY OF VEHICLE,F,,,2302 E WILLIAM CANNON DR,,Theft,2015-10-02 00:00:00,20152750058.0,3110157.0,10041054.0,2015.0,78744.0
505 W 22ND ST,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.285116 -97.743421),6.04,2014-04-25 00:00:00,Not cleared,9.0,THEFT OF BICYCLE,B,30.285116,(30.285116-97.743421),505 W 22ND ST,-97.743421,Theft: All Other Larceny,2014-04-23 00:00:00,20148001066.0,3113975.0,10076884.0,2014.0,78705.0
2707 HEMPHILL PARK,,,,,,,,,,,,,,,,,
Austin TX 78705,,,,,,,,,,,,,,,,,
(30.292694 -97.741118),6.01,2014-07-31 00:00:00,Not cleared,9.0,BURGLARY NON RESIDENCE,B,30.292694,(30.292694-97.741118),2707 HEMPHILL PARK,-97.741118,Burglary / ,,,,,,
Breaking & Entering,2014-07-23 00:00:00,20142040729,3114742,10079685.0,2014,78705,,,,,,,,,,,
512 PECAN GROVE RD Austin TX 78704,14.01,2015-02-02 00:00:00,Not cleared,9.0,BURGLARY OF VEHICLE,H,,,512 PECAN GROVE RD,,Theft,2015-01-28 00:00:00,20155003719.0,3114171.0,10063835.0,2015.0,78704.0
1215 CHICON ST Austin TX 78702,8.029999999999999,,,1.0,THEFT FROM AUTO,C,,,1215 CHICON ST,,Theft,2015-12-09 00:00:00,20155053785.0,3121487.0,10073265.0,2015.0,78702.0
